GHI
0.0
0.0
0.0
0.0
0.0
0.0
0.0
0.0
0.0
0.0
0.0
0.0
0.0
0.0
0.0
0.0
0.0
0.0
0.0
0.0
0.0
0.0
0.0
0.0
0.0
0.0
0.0
0.0
0.0
0.0
0.0
0.0
0.0
0.0
0.0
0.0
0.0
0.0
0.0
0.0
0.0
0.0
0.0
0.0
0.0
0.0
0.0
0.0
0.0
0.0
0.0
0.0
0.0
0.0
0.0
0.0
0.0
0.0
0.0
0.0
0.0
0.0
0.0
0.0
0.0
0.0
0.0
0.0
0.0
0.0
0.0
0.0
0.0
0.0
0.0
0.0
0.0
0.0
0.0
0.0
0.0
0.0
0.0
0.0
0.0
0.0
0.0
0.0
0.0
0.0
0.0
0.0
0.0
0.0
0.0
0.0
0.0
0.0
0.0
0.0
0.0
0.0
0.0
0.0
0.0
0.0
0.0
0.0
0.0
0.0
0.0
0.0
0.0
0.0
0.0
0.0
0.0
0.0
0.0
0.0
0.0
0.0
0.0
0.0
0.0
0.0
0.0
0.0
0.0
0.0
0.0
0.0
0.0
0.0
0.0
0.0
0.0
0.0
0.0
0.0
0.0
0.0
0.0
0.0
0.03
0.0
0.0
0.0
0.0
0.0
0.0
0.0
0.0
0.05
0.0
0.0
0.0
0.0
0.0
0.0
0.0
0.06
0.0
0.0
0.0
0.0
0.0
0.0
0.0
0.0
0.39
0.0
0.0
0.0
0.0
0.0
0.0
0.0
0.43
0.0
0.0
0.0
0.0
0.0
0.0
0.0
0.85
0.0
0.0
0.0
0.0
0.0
0.0
0.0
0.0
0.75
0.0
0.0
0.0
0.0
0.0
0.0
0.0
0.0
0.05
1.27
0.05
0.0
0.0
0.0
0.0
0.0
0.0
0.0
0.45
1.84
0.33
0.0
0.0
0.0
0.0
0.0
0.0
0.0
0.27
3.58
0.37
0.0
0.0
0.0
0.0
0.0
0.0
0.0
0.54
4.08
0.38
0.0
0.0
0.0
0.0
0.0
0.0
0.0
0.45
5.27
0.7
0.0
0.0
0.0
0.0
0.0
0.0
0.0
0.63
6.39
0.55
0.0
0.0
0.0
0.0
0.0
0.0
0.0
0.52
5.73
1.4
0.0
0.0
0.0
0.0
0.0
0.0
0.0
1.46
11.85
1.46
0.0
0.0
0.0
0.0
0.0
0.0
0.0
3.96
11.87
3.3
0.0
0.0
0.0
0.0
0.0
0.0
3.93
10.9
4.73
0.0
0.0
0.0
0.0
0.0
0.0
0.0
5.0
16.3
4.67
0.0
0.0
0.0
0.0
4.99
18.38
5.27
0.0
0.0
0.0
23.18
10.06
0.0
0.0
0.0
0.0
0.0
0.0
0.0
11.27
26.16
0.0
0.0
0.0
11.18
28.98
11.13
0.0
0.0
0.0
0.0
0.0
