LAT;;;;;6.33815;6.33815;6.33815;6.33815
LON;;;;;5.62575;5.62575;5.62575;5.62575
ASL;;;;;88.0000;88.0000;88.0000;88.0000
CITY;;;;;Benin City;Benin City;Benin City;Benin City
DOMAIN;;;;;NEMSAF01;NEMSAF01;NEMSAF01;NEMSAF01
LEVEL;;;;;2 m above gnd;sfc;10 m above gnd;10 m above gnd
NAME;;;;;Temperature;Total Precipitation (high resolution);Wind Speed;Wind Direction
UNIT;;;;;°C;mm;km/h;°
AGGREGATION;;;;;;;;
UTC_OFFSET;;;;;1;1;1;1

Year;Month;Day;Hour;Minute;Temperature  [2 m above gnd];Total Precipitation (high resolution)  [sfc];Wind Speed  [10 m above gnd];Wind Direction  [10 m above gnd]
2020;03;02;17;00;33.15;0.00;17.41;240.26
2020;03;02;18;00;32.40;0.00;15.94;244.59
2020;03;02;19;00;30.78;0.00;11.98;237.26
2020;03;02;20;00;29.85;0.00;10.70;227.73
2020;03;02;21;00;29.05;0.00;10.70;227.73
2020;03;02;22;00;28.31;0.00;9.45;229.64
2020;03;02;23;00;27.93;0.00;6.37;222.71
2020;03;03;00;00;27.29;0.00;11.48;228.81
2020;03;03;01;00;26.61;0.30;14.29;229.09
2020;03;03;02;00;25.90;0.00;3.05;225.00
2020;03;03;03;00;25.70;0.00;3.62;185.71
2020;03;03;04;00;25.61;0.00;4.68;180.00
2020;03;03;05;00;25.43;0.00;4.74;188.75
2020;03;03;06;00;25.40;0.00;2.60;213.69
2020;03;03;07;00;25.06;0.00;2.10;239.04
2020;03;03;08;00;27.45;0.00;4.61;231.34
2020;03;03;09;00;29.82;0.00;9.22;218.66
2020;03;03;10;00;31.79;0.00;9.69;211.33
2020;03;03;11;00;30.06;0.60;13.80;187.50
2020;03;03;12;00;30.57;0.20;14.76;192.68
2020;03;03;13;00;31.01;0.00;14.97;207.18
2020;03;03;14;00;32.11;0.40;2.97;194.04
2020;03;03;15;00;32.96;0.20;5.94;194.04
2020;03;03;16;00;33.23;0.00;6.41;218.16
2020;03;03;17;00;33.64;0.00;7.17;252.47
2020;03;03;18;00;33.20;0.00;6.76;244.80
2020;03;03;19;00;32.16;0.00;5.96;205.02
2020;03;03;20;00;31.27;0.00;8.35;187.43
2020;03;03;21;00;29.59;0.00;11.09;193.13
2020;03;03;22;00;28.20;0.00;14.17;207.22
2020;03;03;23;00;27.19;0.00;14.08;212.47
2020;03;04;00;00;26.61;0.00;11.38;214.70
2020;03;04;01;00;26.14;0.00;8.50;216.38
2020;03;04;02;00;25.95;0.00;5.69;251.57
2020;03;04;03;00;25.90;0.00;5.45;262.41
2020;03;04;04;00;25.79;0.00;4.80;257.01
2020;03;04;05;00;25.70;0.00;5.05;265.91
